"","id","owner","datetaken","ownername","latitude","longitude","url_c","Clusters_0.0005_5","GND_N","PROVINCE_N","DISTRICT_N","date","time"
"98263",15781209292,"81993026@N06","2014-11-13 17:50:25","Lahiru Dulshan",9.5167,80.4,NA,0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2014-11-13","17:50:25"
"103142",15823334201,"127739724@N07","2012-10-14 17:37:55","simfyz",9.4194,80.5004,"https://live.staticflickr.com/8622/15823334201_4554cf82cf_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2012-10-14","17:37:55"
"115590",4953668019,"41239691@N05","2010-08-14 11:46:23","Asi.31",9.3871,80.4115,"https://live.staticflickr.com/4144/4953668019_f05afbe1ae_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2010-08-14","11:46:23"
"124628",32566714068,"91684350@N05","2018-12-23 12:29:15","kannan2702",9.3446,80.439,"https://live.staticflickr.com/4911/32566714068_cda97ed702_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-12-23","12:29:15"
"124629",45526297595,"91684350@N05","2018-12-23 12:27:36","kannan2702",9.3443,80.4388,"https://live.staticflickr.com/4870/45526297595_802a647250_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-12-23","12:27:36"
"124630",32566712968,"91684350@N05","2018-12-23 12:25:51","kannan2702",9.3447,80.4381,"https://live.staticflickr.com/7827/32566712968_877a75e94a_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-12-23","12:25:51"
"124632",46438984161,"91684350@N05","2018-12-23 12:24:38","kannan2702",9.3448,80.4377,"https://live.staticflickr.com/4833/46438984161_f6b0108cde_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-12-23","12:24:38"
"124641",39705726480,"91684350@N05","2018-04-13 10:11:22","kannan2702",9.6397,80.3137,"https://live.staticflickr.com/909/39705726480_7043b0c646_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2018-04-13","10:11:22"
"124672",28974092584,"91684350@N05","2016-09-08 07:08:10","kannan2702",9.3117,80.3767,"https://live.staticflickr.com/8788/28974092584_848578903b_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2016-09-08","07:08:10"
"125331",15957285447,"93313685@N02","2014-12-30 07:32:55","Sameera Thilakasiri Lifestyle",9.5472,80.4089,NA,0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2014-12-30","07:32:55"
